"ID","species","decimalLatitude","decimalLongitude","DataSource"
1,"Chrysocyon brachyurus",-29.8246994018555,-51.1483001708984,"SpeciesLink"
2,"Chrysocyon brachyurus",-29.8246994018555,-51.1483001708984,"SpeciesLink"
3,"Chrysocyon brachyurus",-29.8246994018555,-51.1483001708984,"SpeciesLink"
4,"Chrysocyon brachyurus",2.58333333333333,-72.75,"SpeciesLink"
5,"Chrysocyon brachyurus",4.97166666666667,-68.225,"SpeciesLink"
6,"Chrysocyon brachyurus",-21.5833,-47.799999,"SpeciesLink"
7,"Chrysocyon brachyurus",-24.233299,-49.116699,"SpeciesLink"
8,"Chrysocyon brachyurus",-22.2862,-47.699101,"SpeciesLink"
9,"Chrysocyon brachyurus",-23.310955143,-45.6474214642,"SpeciesLink"
10,"Chrysocyon brachyurus",-23.282516915,-45.178482915,"SpeciesLink"
11,"Chrysocyon brachyurus",-23.2232252625,-45.2719599187,"SpeciesLink"
12,"Chrysocyon brachyurus",-22.264,-47.7635,"SpeciesLink"
13,"Chrysocyon brachyurus",-22.4235,-47.764801,"SpeciesLink"
14,"Chrysocyon brachyurus",-22.233,-47.744801,"SpeciesLink"
15,"Chrysocyon brachyurus",-22.2987,-47.844398,"SpeciesLink"
16,"Chrysocyon brachyurus",-22.326901,-47.870998,"SpeciesLink"
17,"Chrysocyon brachyurus",-21.483299,-49.8167,"SpeciesLink"
18,"Chrysocyon brachyurus",-21.5,-49.783299,"SpeciesLink"
19,"Chrysocyon brachyurus",-20.1,-47.349998,"SpeciesLink"
20,"Chrysocyon brachyurus",-20.2167,-47.283299,"SpeciesLink"
21,"Chrysocyon brachyurus",-20.200001,-47.299999,"SpeciesLink"
22,"Chrysocyon brachyurus",-20.133301,-47.666699,"SpeciesLink"
23,"Chrysocyon brachyurus",-20.1,-47.650002,"SpeciesLink"
24,"Chrysocyon brachyurus",-21.383301,-49.383301,"SpeciesLink"
25,"Chrysocyon brachyurus",-21.35,-49.349998,"SpeciesLink"
26,"Chrysocyon brachyurus",-21.3167,-49.3167,"SpeciesLink"
27,"Chrysocyon brachyurus",-21.5333,-49.299999,"SpeciesLink"
28,"Chrysocyon brachyurus",-21.5,-49.283299,"SpeciesLink"
29,"Chrysocyon brachyurus",-20.116699,-47.599998,"SpeciesLink"
30,"Chrysocyon brachyurus",-20.133301,-47.5667,"SpeciesLink"
31,"Chrysocyon brachyurus",-20.5333,-49.200001,"SpeciesLink"
32,"Chrysocyon brachyurus",-22.133301,-48.400002,"SpeciesLink"
33,"Chrysocyon brachyurus",-21.016701,-47.333301,"SpeciesLink"
34,"Chrysocyon brachyurus",-21.049999,-47.400002,"SpeciesLink"
35,"Chrysocyon brachyurus",-22.75,-48.8167,"SpeciesLink"
36,"Chrysocyon brachyurus",-22.5333,-50.200001,"SpeciesLink"
37,"Chrysocyon brachyurus",-22.049999,-48.133301,"SpeciesLink"
38,"Chrysocyon brachyurus",-22.1,-48.016701,"SpeciesLink"
39,"Chrysocyon brachyurus",-22.116699,-48.200001,"SpeciesLink"
40,"Chrysocyon brachyurus",-20.866699,-50.966701,"SpeciesLink"
41,"Chrysocyon brachyurus",-23.2002251166,-45.3663908819,"SpeciesLink"
42,"Chrysocyon brachyurus",-20.983299,-50.833301,"SpeciesLink"
43,"Chrysocyon brachyurus",-20.983299,-51.099998,"SpeciesLink"
44,"Chrysocyon brachyurus",-20.8167,-51.099998,"SpeciesLink"
45,"Chrysocyon brachyurus",-22.6,-49.016701,"SpeciesLink"
46,"Chrysocyon brachyurus",-22.3167,-48.966701,"SpeciesLink"
47,"Chrysocyon brachyurus",-20.4167,-49.216701,"SpeciesLink"
48,"Chrysocyon brachyurus",-23,-46.0667,"SpeciesLink"
49,"Chrysocyon brachyurus",-22.5,-48.916699,"SpeciesLink"
50,"Chrysocyon brachyurus",-22.4667,-48.900002,"SpeciesLink"
51,"Chrysocyon brachyurus",-22.4667,-48.900002,"SpeciesLink"
52,"Chrysocyon brachyurus",-21.6667,-47.900002,"SpeciesLink"
53,"Chrysocyon brachyurus",-21.700001,-47.866699,"SpeciesLink"
54,"Chrysocyon brachyurus",-21.65,-47.916699,"SpeciesLink"
55,"Chrysocyon brachyurus",-22.016701,-48.5667,"SpeciesLink"
56,"Chrysocyon brachyurus",-21.1833,-47.466701,"SpeciesLink"
57,"Chrysocyon brachyurus",-22.65,-48.1833,"SpeciesLink"
58,"Chrysocyon brachyurus",-22.65,-48.116699,"SpeciesLink"
59,"Chrysocyon brachyurus",-21.1833,-47.450001,"SpeciesLink"
60,"Chrysocyon brachyurus",-30.516701,-46.783299,"SpeciesLink"
61,"Chrysocyon brachyurus",-21.6,-46.733299,"SpeciesLink"
62,"Chrysocyon brachyurus",-21.7167,-46.700001,"SpeciesLink"
63,"Chrysocyon brachyurus",-21.5833,-48.5,"SpeciesLink"
64,"Chrysocyon brachyurus",-24.133301,-48.883301,"SpeciesLink"
65,"Chrysocyon brachyurus",-24.233299,-49.200001,"SpeciesLink"
66,"Chrysocyon brachyurus",-23.4,-47.666699,"SpeciesLink"
67,"Chrysocyon brachyurus",-22.25,-48.233299,"SpeciesLink"
68,"Chrysocyon brachyurus",-20.883301,-47.616699,"SpeciesLink"
69,"Chrysocyon brachyurus",-22.9186,-46.541901,"SpeciesLink"
70,"Chrysocyon brachyurus",-20.538601,-47.400799,"SpeciesLink"
71,"Chrysocyon brachyurus",-22.371901,-46.941898,"SpeciesLink"
72,"Chrysocyon brachyurus",-21.996099,-47.4258,"SpeciesLink"
73,"Chrysocyon brachyurus",-23.344612,-48.462766,"SpeciesLink"
74,"Chrysocyon brachyurus",-23.344612,-48.462766,"SpeciesLink"
75,"Chrysocyon brachyurus",-23.2742855016,-45.2410293038,"SpeciesLink"
76,"Chrysocyon brachyurus",-23.1023282925,-45.1820523605,"SpeciesLink"
77,"Chrysocyon brachyurus",-23.2227524941,-45.5470900994,"SpeciesLink"
78,"Chrysocyon brachyurus",-23.2064666314,-45.1942135565,"SpeciesLink"
79,"Chrysocyon brachyurus",-23.2740308716,-45.5677437396,"SpeciesLink"
80,"Chrysocyon brachyurus",-23.3155615301,-45.4517088221,"SpeciesLink"
81,"Chrysocyon brachyurus",-23.3568412574,-45.5105885243,"SpeciesLink"
82,"Chrysocyon brachyurus",-23.1055386564,-45.5451688973,"SpeciesLink"
83,"Chrysocyon brachyurus",-23.1399566907,-45.4655355238,"SpeciesLink"
84,"Chrysocyon brachyurus",-23.1469472056,-45.3781827397,"SpeciesLink"
85,"Chrysocyon brachyurus",-23.1812402369,-45.4296634032,"SpeciesLink"
86,"Chrysocyon brachyurus",-23.4946261458,-45.692924259,"SpeciesLink"
87,"Chrysocyon brachyurus",-23.4763060253,-45.732956131,"SpeciesLink"
88,"Chrysocyon brachyurus",-23.506853163,-45.7777081944,"SpeciesLink"
89,"Chrysocyon brachyurus",-23.220575,-45.13181,"SpeciesLink"
90,"Chrysocyon brachyurus",-23.233176,-45.167791,"SpeciesLink"
91,"Chrysocyon brachyurus",-23.336155,-45.33298,"SpeciesLink"
92,"Chrysocyon brachyurus",-22.8167,-48.883301,"SpeciesLink"
93,"Chrysocyon brachyurus",-22.65,-48.116699,"SpeciesLink"
94,"Chrysocyon brachyurus",-23.200001,-46.883301,"SpeciesLink"
95,"Chrysocyon brachyurus",-22.412701,-47.840801,"SpeciesLink"
96,"Chrysocyon brachyurus",-22.633301,-48.599998,"SpeciesLink"
97,"Chrysocyon brachyurus",-21.72,-48.099722222222,"SpeciesLink"
98,"Chrysocyon brachyurus",-21.72,-48.099722222222,"SpeciesLink"
99,"Chrysocyon brachyurus",-21.120277777778,-42.942777777778,"SpeciesLink"
100,"Chrysocyon brachyurus",-21.170277777778,-47.81,"SpeciesLink"
101,"Chrysocyon brachyurus",-20.719166666667,-46.609444444444,"SpeciesLink"
102,"Chrysocyon brachyurus",-22.72,-47.639722222222,"SpeciesLink"
103,"Chrysocyon brachyurus",-23.96,-46.33,"SpeciesLink"
104,"Chrysocyon brachyurus",NA,-46.349722222222,"SpeciesLink"
105,"Chrysocyon brachyurus",-10,-55,"SpeciesLink"
106,"Chrysocyon brachyurus",-18.733333,-48.616667,"SpeciesLink"
107,"Chrysocyon brachyurus",-14.178611,-52.193889,"SpeciesLink"
108,"Chrysocyon brachyurus",-14.524611,-52.302722,"SpeciesLink"
109,"Chrysocyon brachyurus",-14.805611,-52.303556,"SpeciesLink"
110,"Chrysocyon brachyurus",-15.89,-52.2567,"SpeciesLink"
111,"Chrysocyon brachyurus",-14.5156,-52.8947,"SpeciesLink"
112,"Chrysocyon brachyurus",-14.5156,-52.8947,"SpeciesLink"
113,"Chrysocyon brachyurus",-19.0386009216309,-47.9169006347656,"SpeciesLink"
114,"Chrysocyon brachyurus",-19.801399230957,-45.6856002807617,"SpeciesLink"
115,"Chrysocyon brachyurus",-19.2243995666504,-44.9352989196777,"SpeciesLink"
116,"Chrysocyon brachyurus",-22.2455556,-54.9125,"SpeciesLink"
117,"Chrysocyon brachyurus",-20.392778,-40.461944,"SpeciesLink"
118,"Chrysocyon brachyurus",-19.788,-45.200222,"SpeciesLink"
119,"Chrysocyon brachyurus",-19.9356002807617,-40.6002998352051,"SpeciesLink"
120,"Chrysocyon brachyurus",-23.5400009155273,-46.6300010681152,"SpeciesLink"
121,"Chrysocyon brachyurus",-22.2455555555556,-54.9125,"SpeciesLink"
2574224025,"Chrysocyon brachyurus",-20.382042,-46.539946,"GBIF"
2294563671,"Chrysocyon brachyurus",-15.953675,-47.908812,"GBIF"
2350307864,"Chrysocyon brachyurus",-26.741149,-59.773029,"GBIF"
2012956852,"Chrysocyon brachyurus",-15.982772,-47.854287,"GBIF"
2244233458,"Chrysocyon brachyurus",-20.338453,-46.433753,"GBIF"
2236883704,"Chrysocyon brachyurus",-14.963383,-45.939742,"GBIF"
2456557265,"Chrysocyon brachyurus",-31.339131,-60.647819,"GBIF"
2563441036,"Chrysocyon brachyurus",-15.982656,-47.866825,"GBIF"
2244223134,"Chrysocyon brachyurus",-15.634747,-47.973171,"GBIF"
2465173503,"Chrysocyon brachyurus",-30.485145,-61.145243,"GBIF"
2518008477,"Chrysocyon brachyurus",-22.135975,-46.729265,"GBIF"
2518012570,"Chrysocyon brachyurus",-22.112693,-46.690856,"GBIF"
2518016577,"Chrysocyon brachyurus",-22.096725,-46.629394,"GBIF"
2518023584,"Chrysocyon brachyurus",-22.108502,-46.653302,"GBIF"
2540879974,"Chrysocyon brachyurus",-28.730387,-60.725627,"GBIF"
2576276427,"Chrysocyon brachyurus",-20.113726,-43.541265,"GBIF"
2397550444,"Chrysocyon brachyurus",-20.390841,-46.640897,"GBIF"
2423251017,"Chrysocyon brachyurus",-10.184086,-45.215858,"GBIF"
2543028178,"Chrysocyon brachyurus",-29.269197,-60.970652,"GBIF"
2557648074,"Chrysocyon brachyurus",-30.599343,-61.096169,"GBIF"
2460048776,"Chrysocyon brachyurus",-20.138831,-43.56331,"GBIF"
2460163470,"Chrysocyon brachyurus",-20.067161,-43.502404,"GBIF"
2465260445,"Chrysocyon brachyurus",-14.070112,-47.437265,"GBIF"
2580207739,"Chrysocyon brachyurus",-18.392332,-52.991491,"GBIF"
2465169131,"Chrysocyon brachyurus",-22.543257,-52.389671,"GBIF"
2563477419,"Chrysocyon brachyurus",-14.868649,-45.87705,"GBIF"
2550006414,"Chrysocyon brachyurus",-28.765129,-60.733155,"GBIF"
2550019546,"Chrysocyon brachyurus",-28.634995,-60.742724,"GBIF"
2265886580,"Chrysocyon brachyurus",-15.743674,-47.888049,"GBIF"
2265869460,"Chrysocyon brachyurus",-20.069234,-43.443516,"GBIF"
2234759853,"Chrysocyon brachyurus",-20.146198,-43.48934,"GBIF"
2244238036,"Chrysocyon brachyurus",-22.798368,-44.647346,"GBIF"
2541249116,"Chrysocyon brachyurus",47.668516,-122.354344,"GBIF"
1880508900,"Chrysocyon brachyurus",-20.071853,-43.593421,"GBIF"
2251943448,"Chrysocyon brachyurus",-15.730339,-51.185471,"GBIF"
1828895777,"Chrysocyon brachyurus",NA,NA,"GBIF"
1890740343,"Chrysocyon brachyurus",NA,NA,"GBIF"
1891260519,"Chrysocyon brachyurus",NA,NA,"GBIF"
1677284788,"Chrysocyon brachyurus",-23.572501,-58.657523,"GBIF"
1677321143,"Chrysocyon brachyurus",-15.956626,-47.893455,"GBIF"
1677321182,"Chrysocyon brachyurus",-15.827217,-47.833169,"GBIF"
2311518478,"Chrysocyon brachyurus",-15.967905,-47.877723,"GBIF"
2563437110,"Chrysocyon brachyurus",-20.213513,-43.933871,"GBIF"
1434745131,"Chrysocyon brachyurus",NA,NA,"GBIF"
1993771673,"Chrysocyon brachyurus",-22.288391,-43.288294,"GBIF"
1847544798,"Chrysocyon brachyurus",-21.611609,-47.765698,"GBIF"
1847631361,"Chrysocyon brachyurus",-15.85108,-47.863169,"GBIF"
1847631362,"Chrysocyon brachyurus",-15.839674,-47.982816,"GBIF"
2425455825,"Chrysocyon brachyurus",-20.392778,-40.461944,"GBIF"
1269500176,"Chrysocyon brachyurus",NA,NA,"GBIF"
1703158808,"Chrysocyon brachyurus",-20.041448,-43.443765,"GBIF"
1338377155,"Chrysocyon brachyurus",-20.097401,-43.487988,"GBIF"
2557757041,"Chrysocyon brachyurus",-28.239382,-57.310396,"GBIF"
2596274338,"Chrysocyon brachyurus",-20.034067,-43.495248,"GBIF"
1677270498,"Chrysocyon brachyurus",-15.562464,-55.625348,"GBIF"
2251946672,"Chrysocyon brachyurus",-15.2235,-51.016156,"GBIF"
1229608357,"Chrysocyon brachyurus",-26.970331,-59.740606,"GBIF"
2416989781,"Chrysocyon brachyurus",NA,NA,"GBIF"
2311365261,"Chrysocyon brachyurus",-20.294263,-46.788754,"GBIF"
1934400859,"Chrysocyon brachyurus",NA,NA,"GBIF"
2597500588,"Chrysocyon brachyurus",-32.140607,-53.758523,"GBIF"
1147124661,"Chrysocyon brachyurus",NA,NA,"GBIF"
1147046297,"Chrysocyon brachyurus",NA,NA,"GBIF"
1703200481,"Chrysocyon brachyurus",-21.163298,-56.568129,"GBIF"
1318490939,"Chrysocyon brachyurus",NA,NA,"GBIF"
891142623,"Chrysocyon brachyurus",-28.996776,-57.509076,"GBIF"
891169052,"Chrysocyon brachyurus",-28.699417,-57.410782,"GBIF"
699206614,"Chrysocyon brachyurus",-28.02336,-58.14568,"GBIF"
1319945331,"Chrysocyon brachyurus",NA,NA,"GBIF"
699206615,"Chrysocyon brachyurus",-28.04421,-58.12875,"GBIF"
699206616,"Chrysocyon brachyurus",-28.04421,-58.12875,"GBIF"
699206617,"Chrysocyon brachyurus",-28.03673,-58.10919,"GBIF"
699206618,"Chrysocyon brachyurus",-28.04421,-58.12875,"GBIF"
699206619,"Chrysocyon brachyurus",-28.03501,-58.09846,"GBIF"
699206620,"Chrysocyon brachyurus",-28.03657,-58.10925,"GBIF"
699206621,"Chrysocyon brachyurus",-28.04421,-58.12875,"GBIF"
699206622,"Chrysocyon brachyurus",-28.04421,-58.12875,"GBIF"
699206623,"Chrysocyon brachyurus",-28.04107,-58.12256,"GBIF"
699206693,"Chrysocyon brachyurus",0,0,"GBIF"
699206624,"Chrysocyon brachyurus",-28.04739,-58.13364,"GBIF"
699206626,"Chrysocyon brachyurus",-28.03877,-58.11664,"GBIF"
699206627,"Chrysocyon brachyurus",-28.03501,-58.09846,"GBIF"
699206628,"Chrysocyon brachyurus",-28.03877,-58.11664,"GBIF"
699206629,"Chrysocyon brachyurus",-28.03501,-58.09846,"GBIF"
699206630,"Chrysocyon brachyurus",-28.04421,-58.12875,"GBIF"
699206631,"Chrysocyon brachyurus",-28.03358,-58.09678,"GBIF"
699206694,"Chrysocyon brachyurus",0,0,"GBIF"
699206697,"Chrysocyon brachyurus",0,0,"GBIF"
699206698,"Chrysocyon brachyurus",0,0,"GBIF"
699206695,"Chrysocyon brachyurus",0,0,"GBIF"
699206632,"Chrysocyon brachyurus",-28.04171,-58.12389,"GBIF"
699206634,"Chrysocyon brachyurus",-28.03877,-58.11664,"GBIF"
699206635,"Chrysocyon brachyurus",-28.04421,-58.12875,"GBIF"
699206636,"Chrysocyon brachyurus",-28.04421,-58.12875,"GBIF"
699206642,"Chrysocyon brachyurus",-28.04665,-58.09633,"GBIF"
699206696,"Chrysocyon brachyurus",0,0,"GBIF"
2251889720,"Chrysocyon brachyurus",-13.79607,-66.000189,"GBIF"
699206637,"Chrysocyon brachyurus",-28.01565,-58.04446,"GBIF"
699206638,"Chrysocyon brachyurus",-28.03877,-58.11664,"GBIF"
699206639,"Chrysocyon brachyurus",-28.03673,-58.10919,"GBIF"
1320531852,"Chrysocyon brachyurus",NA,NA,"GBIF"
699206640,"Chrysocyon brachyurus",-28.04072,-58.12077,"GBIF"
699206641,"Chrysocyon brachyurus",-28.04113,-58.12162,"GBIF"
1321794349,"Chrysocyon brachyurus",NA,NA,"GBIF"
1851310800,"Chrysocyon brachyurus",NA,NA,"GBIF"
699206690,"Chrysocyon brachyurus",0,0,"GBIF"
233871525,"Chrysocyon brachyurus",-28.03807,-58.11526,"GBIF"
382060978,"Chrysocyon brachyurus",-28.03807,-58.11526,"GBIF"
699206688,"Chrysocyon brachyurus",0,0,"GBIF"
699206689,"Chrysocyon brachyurus",0,0,"GBIF"
2543094827,"Chrysocyon brachyurus",-30.047283,-61.039361,"GBIF"
699206687,"Chrysocyon brachyurus",0,0,"GBIF"
233871483,"Chrysocyon brachyurus",-27.95859,-58.01045,"GBIF"
233871526,"Chrysocyon brachyurus",-28.02342,-58.06419,"GBIF"
382060906,"Chrysocyon brachyurus",-27.95859,-58.01045,"GBIF"
382060979,"Chrysocyon brachyurus",-28.02342,-58.06419,"GBIF"
699206691,"Chrysocyon brachyurus",0,0,"GBIF"
233871527,"Chrysocyon brachyurus",-27.99382,-58.08694,"GBIF"
382060981,"Chrysocyon brachyurus",-27.99382,-58.08694,"GBIF"
382061048,"Chrysocyon brachyurus",-25.07097,-58.14913,"GBIF"
382061050,"Chrysocyon brachyurus",-25.117,-57.97567,"GBIF"
382061051,"Chrysocyon brachyurus",-25.07097,-58.14913,"GBIF"
382061053,"Chrysocyon brachyurus",-25.07097,-58.14913,"GBIF"
382061056,"Chrysocyon brachyurus",-25.07097,-58.14913,"GBIF"
382061059,"Chrysocyon brachyurus",-25.07097,-58.14913,"GBIF"
382061062,"Chrysocyon brachyurus",-25.10981,-58.17598,"GBIF"
699206699,"Chrysocyon brachyurus",-25.07097,-58.14913,"GBIF"
699206700,"Chrysocyon brachyurus",-25.117,-57.97567,"GBIF"
699206701,"Chrysocyon brachyurus",-25.07097,-58.14913,"GBIF"
699206702,"Chrysocyon brachyurus",-25.07097,-58.14913,"GBIF"
699206703,"Chrysocyon brachyurus",-25.07097,-58.14913,"GBIF"
699206704,"Chrysocyon brachyurus",-25.07097,-58.14913,"GBIF"
699206705,"Chrysocyon brachyurus",-25.10981,-58.17598,"GBIF"
1321206697,"Chrysocyon brachyurus",NA,NA,"GBIF"
699206692,"Chrysocyon brachyurus",0,0,"GBIF"
1847628176,"Chrysocyon brachyurus",-18.040222,-52.942731,"GBIF"
382061063,"Chrysocyon brachyurus",-25.1288,-58.14734,"GBIF"
382061076,"Chrysocyon brachyurus",-25.11613,-58.08012,"GBIF"
382061083,"Chrysocyon brachyurus",-25.15391,-58.12558,"GBIF"
699206712,"Chrysocyon brachyurus",-25.11613,-58.08012,"GBIF"
699206715,"Chrysocyon brachyurus",-25.15391,-58.12558,"GBIF"
233871528,"Chrysocyon brachyurus",-28.03335,-58.09669,"GBIF"
382060984,"Chrysocyon brachyurus",-28.03335,-58.09669,"GBIF"
382061065,"Chrysocyon brachyurus",-25.12379,-58.19435,"GBIF"
382061071,"Chrysocyon brachyurus",-25.12617,-58.21987,"GBIF"
699206706,"Chrysocyon brachyurus",-25.12379,-58.19435,"GBIF"
699206710,"Chrysocyon brachyurus",-25.12617,-58.21987,"GBIF"
233871529,"Chrysocyon brachyurus",-27.99776,-58.11176,"GBIF"
382060985,"Chrysocyon brachyurus",-27.99776,-58.11176,"GBIF"
699206645,"Chrysocyon brachyurus",0,0,"GBIF"
699206646,"Chrysocyon brachyurus",0,0,"GBIF"
382060808,"Chrysocyon brachyurus",-31.83512,-61.56414,"GBIF"
699206647,"Chrysocyon brachyurus",-25.12065,-58.18566,"GBIF"
699206648,"Chrysocyon brachyurus",0,0,"GBIF"
699206649,"Chrysocyon brachyurus",-25.09123,-58.13065,"GBIF"
699206611,"Chrysocyon brachyurus",-28.00524,-58.00605,"GBIF"
699206683,"Chrysocyon brachyurus",0,0,"GBIF"
699206684,"Chrysocyon brachyurus",0,0,"GBIF"
699206686,"Chrysocyon brachyurus",0,0,"GBIF"
699206612,"Chrysocyon brachyurus",-28.00781,-58.00015,"GBIF"
699206613,"Chrysocyon brachyurus",-28.01224,-58.10552,"GBIF"
699206652,"Chrysocyon brachyurus",0,0,"GBIF"
2573899920,"Chrysocyon brachyurus",-20.117638,-43.425313,"GBIF"
382061097,"Chrysocyon brachyurus",-25.08166,-58.12242,"GBIF"
382061123,"Chrysocyon brachyurus",-25.07115,-58.13772,"GBIF"
699206722,"Chrysocyon brachyurus",-25.08166,-58.12242,"GBIF"
699206734,"Chrysocyon brachyurus",-25.07115,-58.13772,"GBIF"
382061136,"Chrysocyon brachyurus",-25.17013,-58.13323,"GBIF"
